gene_ID	SRR11248243_Sporocysts	SRR922068_Sporocysts	SRR922067_Miracidia	SRR1142421_Cercariae	SRR1142423_Cercariae	SRR5860351_Cercariae	SRR8763170_Somula	SRR8763171_Somula	SRR8763176_Somula	SRR8763177_Somula	SRR8763178_Somula	SRR8763180_Somula	ERR572993_Males	ERR573090_Males	ERR582515_Males	SRR5170166_Males	SRR5170167_Males	SRR5170168_Males	ERR572988_Females	ERR573085_Females	ERR578187_Females	SRR5170160_Females	SRR5170161_Females	SRR5170162_Females
Smp_210920.2	3.03	0.27	0.09	0	2.63	0.94	0.55	0.43	0	2.05	1.39	0	5.63	0	0	1.24	2.52	2.31	1.88	1.34	0	1.75	4.88	5.3
Smp_210930.1	126.16	42.36	37.63	57.58	32.99	79.88	112.46	118.63	65.7	65.82	80.29	120.96	182.06	189.09	186.52	161.09	161.82	174.67	126.08	134.39	124.58	135.41	137.11	150.71
Smp_210940.1	61.62	25.62	16.1	16.43	3.76	23.67	5.08	6.13	6.88	5.27	1.47	5.03	0	2.37	0	9.58	5.75	8.99	2.96	3.37	0.61	5.4	3.72	4.49
Smp_210940.2	17.48	2.79	2.59	8.23	15.49	17.83	9.72	12.2	10.56	13.33	14.2	12.48	12.87	4.47	12.98	6.58	7.58	5.58	3.3	3.25	7.38	3.3	4.26	6.44
Smp_210940.3	17.66	0.06	0.07	0.98	0	1.49	0.39	0.79	0.46	0.2	0.2	0.13	0	0.52	0	0.44	0.57	0	0.43	0	0	0.11	0.27	0.26
Smp_210950.1	47.02	17.5	16.22	44.94	25.95	62.08	49.72	48.79	64.2	66.56	54.65	51.36	64.11	52.23	57.66	84.74	81.39	83.4	23.88	28.03	25.62	46.66	39.66	46.49
Smp_210960.1	51.2	5.74	5.45	47.25	28.38	56.11	55.83	58.51	36.59	38.62	39.3	56.26	157.15	202.47	177.01	235.56	247.16	237.11	63.48	63.35	50.91	78.14	78.76	78.03
Smp_210970.1	3.14	0.17	0.46	1.03	0.94	2.16	1.36	0.66	0.14	0	0	1.03	0	3.79	0.96	1.36	1	2.66	0.48	0	1.11	0.58	0.53	0.19
Smp_210970.2	1.1	0.28	0	0.6	0	1.22	0.33	0.75	0.51	0	0.23	0.87	0.91	3.07	3.21	3.24	2.24	2.96	0.46	0	0	0.13	0.28	0.17
Smp_210970.3	42.65	4.71	2.55	26.62	21.58	35.3	5.05	7.32	4.07	4.3	3.89	6.1	34.83	21.66	30.3	32.84	29.28	32.56	8.89	10.64	8.84	8.01	11.06	11.06
Smp_210980.1	25.34	2.06	2.75	4.58	0.78	6.34	1.73	1.42	8.14	9.81	5.41	3.48	6.01	12.17	7.64	31.58	28.85	24.62	4.88	8.92	3.46	25.54	26.62	22.63
Smp_210980.2	0	0.16	0	0.15	1.86	2.42	7.85	7.95	5.06	1.95	6.4	6.89	9.49	6.75	9.5	8.13	6	10.62	10.71	6.25	10.02	6.13	8.81	16.12
Smp_211020.1	15.18	0	0	0.54	0	2.39	2.36	3.24	0.48	0	1.32	3.19	42.48	57.82	58.74	29.18	29.91	42.08	1.53	1.03	0	0.38	3.96	2.89
Smp_211020.2	38.51	0.2	0.21	8.96	10.98	12.69	21.66	25.32	21.25	20.15	20.01	23.88	22.73	32.83	31.77	22.94	18.07	21.5	1.24	2.39	3.97	3.73	3.02	8.46
Smp_211030.1	29.83	13.7	17.79	28.58	22.58	39.39	9.47	8.65	7.77	6.01	5.39	10.67	25.22	22.08	28.24	38.66	36.33	38.23	18.09	21.21	19.26	29.74	33.4	33.47
Smp_211040.1	68.25	34.01	51.65	54.64	48.25	69.18	35.92	39.91	40	39.5	42.81	37.95	91.93	97.28	80.31	79.84	76.59	71.55	105.22	112.57	90.87	90.41	81.48	93.66
Smp_211050.1	25	3	4.24	26.75	15.79	31.15	14.73	14.81	15.26	15.31	16.31	15.97	17.38	16.83	17.77	23.45	19.46	20.72	17.53	15.92	15.67	19.1	20.31	23.74
Smp_211060.1	23.83	2.92	2.87	17.82	11.21	16.44	7.94	9.34	14.95	14.46	12.4	9.99	24.97	20.89	27.32	50.64	48.57	45.74	16.06	14.65	16.73	35.84	41.28	42.43
Smp_211060.3	0.7	0	0.05	0.09	0.1	0.5	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0.31
Smp_211070.1	45.54	22.19	25.43	47.91	29.54	46.13	65.43	65.19	33.73	34.63	41.47	67.5	101.6	69.2	99.58	49.5	43.13	50.61	40.17	40.34	46.31	27.3	28.88	34.09
Smp_211080.1	15.34	4.46	3.35	5.8	3.51	9.16	5.04	6.52	7.46	8.08	6.03	6.63	17.54	16.33	21.13	20.18	18.51	18.78	7.51	8.05	10.15	14.72	14.98	14.56
Smp_211100.1	140.4	64.49	66.33	52.92	32.11	87.94	36.79	37.22	61.66	66.36	52.59	39.59	43.08	28.14	40.7	44.8	42.54	38.62	30.25	31.41	39.86	46.8	41.84	51.27
Smp_211120.1	39.57	3.69	4.55	26.49	16.75	42.45	26.38	28.65	54.49	49.96	39.01	27.35	62.89	59.76	58.33	136.95	132.13	137.05	47.59	48.72	40.27	130.65	131.38	125.72
Smp_211130.1	6.19	1.62	0.08	9.68	0	6.21	2.13	4.4	4.32	4.33	1.21	3.87	4.86	2.29	5.67	5.28	6.78	7.42	2.01	2.08	5.39	3.17	1.94	5.12
Smp_211130.2	0.33	0.06	0.14	1.37	0	0	0	1.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_211130.3	15.53	7.77	8.72	15.82	17.39	25.06	10.28	6.98	2.15	2.49	5.18	9.01	7.16	6.38	7.31	7.8	4.71	7.3	3.97	4.09	1.73	7.12	7.86	4.95
Smp_211140.1	64.68	70.11	41.65	32.95	28.01	47.23	69.92	66.58	51.5	54.52	65.79	65.89	65.41	77.8	67.75	40.47	42.78	40.6	59.77	64.49	57.43	44.34	35.42	48.57
Smp_211140.2	2.43	0.58	0.32	1.1	0	1.86	0.56	1.49	0.18	0.21	0	0.48	0	0	0	0	0	0.26	0	0	0.65	0	0.18	0.2
Smp_211150.1	45.49	4.02	11.02	19.02	12.61	29.1	7.36	6.82	23.64	19.71	17.94	8.08	30.45	21.57	23.57	56.52	45.45	50.16	9.48	8.46	9.59	22.99	23.51	25.03
Smp_211160.1	8.43	12.62	9.81	11.98	3.16	20.05	8.65	9.63	5.19	5.21	2.86	10.81	4.06	3.21	4.18	7.36	6.4	6.59	8.28	7.26	6.23	13.28	16.27	15.24
Smp_211160.2	1.83	0.76	0.6	1.72	0.15	0.53	0.51	1.07	0.38	0.36	0.29	0.57	0	0.22	0.43	1.13	0.88	0.41	0.25	0.4	0.75	0.99	1	1.56
Smp_211170.1	28.99	25.57	40.5	32.06	17.83	54.87	33.04	34.22	42.08	41.86	42.33	34.81	25.97	23.06	32.85	28.46	26.93	25.43	18.96	20.01	27.25	25.5	23.33	29.7
Smp_211190.1	34.25	5.31	3.16	18.79	10.62	23.17	23.99	18.9	21.14	14.71	14.83	23.58	25.59	37.57	36.88	46.72	43.72	42.81	32.38	38.64	29.76	45.07	52.42	50.01
Smp_211200.1	22.77	14.02	6.68	9.6	3.8	13.65	12.58	15.1	13.28	13.63	11.75	14.23	13.44	15.6	18.49	25.62	22.79	23.53	22.56	19.67	18.19	21	25.06	24.86
Smp_211200.2	6.44	1.36	0.67	2.82	0.57	2.57	2.71	2.56	2.37	1.43	1.41	2.38	2.3	1.88	1.21	2.32	2.85	2.59	1.71	1.92	1.13	1.94	1.96	2.33
Smp_211250.1	258.71	852.97	756.4	82.81	26.66	114.15	725.09	700.59	343.89	327.85	435.61	700.33	244.32	240.48	244.01	105.4	119.96	107.63	418.72	448.18	401.17	239.86	177.94	281.99
Smp_211260.1	87.18	92.06	76.78	35.99	31.08	48.5	50.89	59.16	52.96	55.52	57.79	55.81	57.67	57.24	59.86	48.86	51.35	48.59	59.15	57.9	60.76	70.22	61.82	84.34
